% u
@RELATION AcuteHypotensive

@ATTRIBUTE HR REAL
@ATTRIBUTE ABPSys REAL
@ATTRIBUTE ABPDias REAL
@ATTRIBUTE ABPMean REAL
@ATTRIBUTE SpO2 REAL
@ATTRIBUTE Class {C, H}

@DATA
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
0.0,0.0,0.0,0.0,0,C
