% u
@RELATION AcuteHypotensive

@ATTRIBUTE HR REAL
@ATTRIBUTE ABPSys REAL
@ATTRIBUTE ABPDias REAL
@ATTRIBUTE ABPMean REAL
@ATTRIBUTE SpO2 REAL
@ATTRIBUTE Class {C, H}

@DATA
18700.0,6000.0,96400.0,107400.0,0,C
18600.0,6200.0,95800.0,0.0,0,C
18900.0,6300.0,96600.0,0.0,0,C
18500.0,9300.0,96200.0,0.0,0,C
17900.0,9100.0,97100.0,0.0,0,C
18400.0,9000.0,97000.0,0.0,0,C
18900.0,9000.0,97400.0,0.0,0,C
18200.0,9000.0,97300.0,0.0,0,C
17600.0,9000.0,97500.0,117300.0,0,C
19000.0,9700.0,97000.0,119400.0,0,C
18100.0,9700.0,96400.0,0.0,0,C
18900.0,9100.0,97100.0,0.0,0,C
19100.0,8900.0,97500.0,0.0,0,C
19400.0,8300.0,97600.0,0.0,0,C
18000.0,8700.0,97400.0,117700.0,0,C
18900.0,8900.0,98000.0,115600.0,0,C
18600.0,8900.0,98000.0,122800.0,0,C
18600.0,8900.0,97100.0,125400.0,0,C
18800.0,9000.0,97400.0,125900.0,0,C
18900.0,8800.0,97200.0,124500.0,0,C
19300.0,9000.0,97100.0,122900.0,0,C
19500.0,9000.0,97300.0,119900.0,0,C
20400.0,9300.0,97100.0,115600.0,0,C
17600.0,9100.0,97600.0,118600.0,0,C
19600.0,8900.0,98100.0,116400.0,0,C
20000.0,8900.0,97900.0,112800.0,0,C
19000.0,8900.0,98700.0,115800.0,0,C
19100.0,8500.0,98800.0,112600.0,0,C
19900.0,8400.0,99800.0,0.0,0,C
18200.0,8000.0,99700.0,0.0,0,C
19400.0,8200.0,100700.0,198200.0,0,C
19300.0,8600.0,100500.0,111400.0,0,C
19300.0,8700.0,100600.0,116300.0,0,C
19300.0,8900.0,100300.0,115500.0,0,C
19300.0,8600.0,100000.0,118500.0,0,C
19900.0,9300.0,99100.0,124700.0,0,C
20300.0,8600.0,99500.0,121400.0,0,C
19600.0,8400.0,99900.0,0.0,0,C
20500.0,8300.0,100200.0,0.0,0,C
20000.0,8400.0,99900.0,0.0,0,C
19100.0,8100.0,100700.0,0.0,0,C
20000.0,8300.0,100300.0,138900.0,0,C
20100.0,9400.0,99300.0,111700.0,0,C
17700.0,8700.0,99000.0,131800.0,0,C
15100.0,9900.0,98100.0,142600.0,0,C
16600.0,9300.0,97300.0,123000.0,0,C
23300.0,7800.0,92500.0,129000.0,0,C
19300.0,8400.0,89900.0,125800.0,0,C
21800.0,9600.0,94800.0,128000.0,0,C
19300.0,8500.0,96300.0,115900.0,0,C
20600.0,7800.0,97900.0,107500.0,0,C
22700.0,7900.0,99200.0,101400.0,0,C
23500.0,8200.0,100400.0,100200.0,0,C
21500.0,8200.0,100500.0,99900.0,0,C
22600.0,8200.0,100500.0,109100.0,0,C
20800.0,8000.0,101000.0,114400.0,0,C
22600.0,9200.0,99300.0,114900.0,0,C
24300.0,8700.0,100200.0,112100.0,0,C
19900.0,9700.0,100700.0,131300.0,0,C
16300.0,10900.0,97400.0,164000.0,0,C
16400.0,9800.0,98600.0,127700.0,0,C
20300.0,8900.0,98100.0,109800.0,0,C
22400.0,8400.0,99000.0,98800.0,0,C
23700.0,7800.0,100100.0,93600.0,0,C
22000.0,7700.0,100800.0,93200.0,0,C
22600.0,7600.0,101700.0,96300.0,0,C
22600.0,7800.0,102900.0,95500.0,0,C
20700.0,7600.0,102600.0,94000.0,0,C
19200.0,7700.0,102200.0,96900.0,0,C
20600.0,8200.0,100600.0,147700.0,0,C
16800.0,7700.0,97700.0,112700.0,0,C
24100.0,8400.0,99000.0,108500.0,0,C
23000.0,7200.0,99900.0,105600.0,0,C
23200.0,6400.0,98900.0,114200.0,0,C
19700.0,4000.0,98600.0,118800.0,0,C
21000.0,4000.0,97800.0,116100.0,0,C
18100.0,6100.0,97800.0,114000.0,0,C
21800.0,8700.0,97300.0,114300.0,0,C
18500.0,10600.0,98400.0,112900.0,0,C
20800.0,9700.0,98300.0,115900.0,0,C
20500.0,9900.0,98200.0,115500.0,0,C
18600.0,10000.0,98900.0,117300.0,0,C
19900.0,12900.0,98500.0,0.0,0,C
24000.0,13200.0,101100.0,0.0,0,C
22400.0,15800.0,102100.0,117700.0,0,C
19900.0,14900.0,99600.0,123500.0,0,C
22000.0,13700.0,101800.0,120700.0,0,C
21300.0,13200.0,102200.0,115700.0,0,C
20100.0,7400.0,102600.0,0.0,0,C
19800.0,5700.0,102000.0,114300.0,0,C
21000.0,6300.0,102000.0,114100.0,0,C
20900.0,6000.0,102400.0,114900.0,0,C
21100.0,6000.0,102400.0,115000.0,0,C
21600.0,6800.0,101000.0,118400.0,0,C
18500.0,5800.0,101300.0,118900.0,0,C
